,Article Title,Publication Year,Abstract,Author Keywords,resource_data
0,An Evaluation of Situational Autonomy for Human-AI Collaboration in a Shared Workspace Setting,2024,"Designing interactions for human-AI teams (HATs) can be challenging due to an AI agent's potential autonomy. Previous work suggests that higher autonomy does not always improve team performance, and situation-dependent autonomy adaptation might be beneficial. However, there is a lack of systematic empirical evaluations of such autonomy adaptation in human-AI interaction. Therefore, we propose a cooperative task in a simulated shared workspace to investigate effects of fixed levels of AI autonomy and situation-dependent autonomy adaptation on team performance and user satisfaction. We derive adaptation rules for AI autonomy from previous work and a pilot study. We implement these rule for our main experiment and find that team performance was best when humans collaborated with an agent adjusting its autonomy based on the situation. Additionally, users rated this agent highest in terms of perceived intelligence. From these results, we discuss the influence of varying autonomy degrees on HATs in shared workspaces.",,第1页.xls
1,An Evaluation of Situational Autonomy for Human-AI Collaboration in a Shared Workspace Seting,2024,"Designing interactions for human-AI teams (HATs) can be challenging due to an AI agent's potential autonomy. Previous work suggests that higher autonomy does not always improve team performance, and situation-dependent autonomy adaptation might be beneficial. However, there is a lack of systematic empirical evaluations of such autonomy adaptation in human-AI interaction. Therefore, we propose a cooperative task in a simulated shared workspace to investigate effects of fixed levels of AI autonomy and situation-dependent autonomy adaptation on team performance and user satisfaction. We derive adaptation rules for AI autonomy from previous work and a pilot study. We implement these rule for our main experiment and find that team performance was best when humans collaborated with an agent adjusting its autonomy based on the situation. Additionally, users rated this agent highest in terms of perceived intelligence. From these results, we discuss the influence of varying autonomy degrees on HATs in shared workspaces.",,第1页.xls
2,"Supporting Human-AI Teams:Transparency, explainability and situation awareness",2023,"System autonomy and AI are being developed for a wide variety of applications where they will likely work in tandem with people, forming human-AI teams (HAT). Situation awareness (SA) of autonomous systems and AI has been established as critical for effective interaction and oversight of these systems. As AI capabilities grow, and more effective teaming behaviors are expected of AI systems, there will also be an increased need for shared SA between the human and AI teammates. Methods for supporting team SA within HAT are discussed in terms of team SA requirements, team SA mechanisms, team SA displays and team SA processes. A framework for understanding the types of information that needs to be shared within HAT is provided, including a focus on taskwork SA, agent SA, and teamwork SA. AI based on learning systems creates new challenges for the development of good SA and mental models. AI transparency and explainability are discussed in terms of their separate roles for supporting SA and mental models in HAT. The SA Oriented Design (SAOD) process is described as a systematic methodology for developing transparent AI displays for HAT and an example of its application to automated driving in a Tesla is provided. All rights reserved Elsevier.",,第1页.xls
3,Modeling Trust Dimensions and Dynamics in Human-Agent Conversation: A Trajectory Epistemic Network Analysis Approach,2024,"Human-AI conversation provides a natural, unobtrusive, yet under-explored way to investigate trust dynamics in human-AI teams (HATs). In this paper, we modeled dynamic trust evolution in conversations using a novel method, trajectory epistemic network analysis (T-ENA). T-ENA captures the multidimensional aspect of trust (i.e., analytic and affective), and trajectory analysis segments conversations to capture temporal changes of trust over time. Twenty-four participants performed a habitat maintenance task assisted by a conversational agent and verbalized their experiences and feelings after each task. T-ENA showed that agent reliability significantly affected people's conversations in the analytic process of trust, t(38.88)=15.18,p<0.001,Cohen's d=4.72, such as discussing agents' errors. The trajectory analysis showed that trust dynamics manifested through conversation topic diversity and flow. These results showed trust dimensions and dynamics in conversation should be considered interdependently and suggested that an adaptive conversational strategy for managing trust in HATs.",,第1页.xls
4,Understanding the influence of AI autonomy on AI explainability levels in human-AI teams using a mixed methods approach,2024,"An obstacle to effective teaming between humans and AI is the agent's black box design. AI explanations have proven benefits, but few studies have explored the effects that explanations can have in a teaming environment with AI agents operating at heightened levels of autonomy. We conducted two complementary studies, an experiment and participatory design sessions, investigating the effect that varying levels of AI explainability and AI autonomy have on the participants' perceived trust and competence of an AI teammate to address this research gap. The results of the experiment were counter-intuitive, where the participants actually perceived the lower explainability agent as both more trustworthy and more competent. The participatory design sessions further revealed how a team's need to know influences when and what teammates need explained from AI teammates. Based on these findings, several design recommendations were developed for the HCI community to guide how AI teammates should share decision information with their human counterparts considering the careful balance between trust and competence in human-AI teams.",,第1页.xls
5,Modeling and Guiding the Creation of Ethical Human-Al Teams,2021,"With artificial intelligence continuing to advance, so too do the ethical concerns that can potentially negatively impact humans and the greater society. When these systems begin to interact with humans, these concerns become much more complex and much more important. The field of human-AI teaming provides a relevant example of how AI ethics can have significant and continued effects on humans. This paper reviews research in ethical artificial intelligence, as well as ethical teamwork through the lens of the rapidly advancing field of human-AI teaming, resulting in a model demonstrating the requirements and outcomes of building ethical human-AI teams. The model is created to guide the prioritization of ethics in human-AI teaming by outlining the ethical teaming process, outcomes of ethical teams, and external requirements necessary to ensure ethical human-AI teams. A final discussion is presented on how the developed model will influence the implementation of AI teammates, as well as the development of policy and regulation surrounding the domain in the coming years.",,第1页.xls
6,Social perception in Human-AI teams: Warmth and competence predict receptivity to AI teammates,2023,"Advances in artificial intelligence (AI) promise a future where teams consist of people and intelligent machines, such as robots or virtual agents. In order for human-AI teams (HATs) to succeed, human team members will need to be receptive to their new AI counterparts. In this study, we draw on a tripartite model of human newcomer receptivity, which includes three components: reflection, knowledge utilization, and psychological acceptance. We hypothesize that two aspects of social perception-warmth and competence-are critical predictors of human receptivity to a new AI teammate. Study 1 uses a video vignette design in which participants imagine adding one of eight AI teammates to a referent team. Study 2 leverages a Wizard of Oz methodology in laboratory teams. In addition to testing the effects of perceived warmth and competence on receptivity components, Study 2 also explores the influence of receptivity components on perceived HAT viability. Though both studies find that perceived warmth and competence affect receptivity, we find competence is particularly important for knowledge utilization and psychological acceptance. Further, results of Study 2 show that psychological acceptance is positively related to perceived HAT viability. Implications for future research on social perception of AI teammates are discussed. All rights reserved Elsevier.",,第1页.xls
7,HACO: A Framework for Developing Human-AI Teaming,2020,"We witnessed great advancement in artificial intelligence (AI) powered technologies over the past few decades. Wide use of AI technologies has led to the creation of an ecosystem where human and AI systems are partners, complementing each other with their strengths. To build a successful human-AI team, there are several considerations, including context awareness, effective communication, pro-activeness, etc. In this paper, we present a taxonomy of human-AI teaming concepts. We extend a multi-agent framework, Java Agent Development Framework ( JADE), to support the proposed taxonomy. Our solution framework, Human-AI Collaboration (HACO), enables a model-driven development of human-AI teaming systems through graphical user interface. In this paper, we present the solution architecture for extending JADE with human-AI teaming taxonomy. A user study performed to assess the usefulness of HACO, shows that HACO is a promising framework. We evaluated the proposed framework by developing a set of use cases for a contact center and observed a signification reduction in the overall development effort.",,第1页.xls
8,HACO: a Framework for Developing Human-AI Teaming,2020,"We witnessed great advancement in artificial intelligence (AI) powered technologies over the past few decades. Wide use of AI technologies has led to the creation of an ecosystem where human and AI systems are partners, complementing each other with their strengths. To build a successful human-AI team, there are several considerations, including context awareness, effective communication, pro-activeness, etc. In this paper, we present a taxonomy of human-AI teaming concepts. We extend a multi-agent framework, Java Agent Development Framework (JADE), to support the proposed taxonomy. Our solution framework, Human-AI Collaboration (HACO), enables a model-driven development of human-AI teaming systems through graphical user interface. In this paper, we present the solution architecture for extending JADE with human-AI teaming taxonomy. A user study performed to assess the usefulness of HACO, shows that HACO is a promising framework. We evaluated the proposed framework by developing a set of use cases for a contact center and observed a signification reduction in the overall development effort. The framework video can be viewed at https://youtu.be/lNyrrk8dMqU.",,第1页.xls
9,The role of shared mental models in human-AI teams: a theoretical review,2023,"Mental models are knowledge structures employed by humans to describe, explain, and predict the world around them. Shared Mental Models (SMMs) occur in teams whose members have similar mental models of their task and of the team itself. Research on human teaming has linked SMM quality to improved team performance. Applied understanding of SMMs should lead to improvements in human-AI teaming. Yet, it remains unclear how the SMM construct may differ in teams of human and AI agents, how and under what conditions such SMMs form, and how they should be quantified. This paper presents a review of SMMs and the associated literature, including their definition, measurement, and relation to other concepts. A synthesized conceptual model is proposed for the application of SMM literature to the human-AI setting. Several areas of AI research are identified and reviewed that are highly relevant to SMMs in human-AI teaming but which have not been discussed via a common vernacular. A summary of design considerations to support future experiments regarding Human-AI SMMs is presented. We find that while current research has made significant progress, a lack of consistency in terms and of effective means for measuring Human-AI SMMs currently impedes realization of the concept.",,第1页.xls
